secid,sdate,edate,PERMNO,score,crsp,symbol
110050,19960102,20190628,50948,1,crsp_50948,SMTC
110149,20000505,20190628,88266,1,crsp_88266,SWIR
110163,20000324,20190628,87812,1,crsp_87812,SLAB
110196,19970618,20190628,85040,1,crsp_85040,SLP
110249,19960102,20190628,82281,1,crsp_82281,SMSI
110257,20000724,20190628,88466,1,crsp_88466,SMTX
110281,19960102,20050322,81290,1,crsp_81290,SOL
110316,20000525,20190628,88264,1,crsp_88264,RBBN
110456,19960102,20190628,43481,1,crsp_43481,SXI
110482,19970619,20190628,85077,1,crsp_85077,SRT
110532,19960101,20190628,81132,1,crsp_81132,STM
110548,19960102,20190628,81010,1,crsp_81010,SSYS
110650,20000719,20190628,88468,1,crsp_88468,SPRT
110681,19960430,20190628,83422,1,crsp_83422,SYKE
110700,19960102,20190628,77357,1,crsp_77357,SNPS
110772,20000921,20190628,88648,1,crsp_88648,TTMI
110786,19970415,20190628,84761,1,crsp_84761,TTWO
110830,19960102,20190628,10182,1,crsp_10182,TECD
110930,19960801,20190628,83916,1,crsp_83916,TTEC
110949,19960101,20190628,75460,1,crsp_75460,TNC
110972,19960102,20190628,15579,1,crsp_15579,TXN
110994,19960102,20190628,78077,1,crsp_78077,KAI
111024,19960102,20190628,78664,1,crsp_78664,DDD
111133,19960822,20190628,83910,1,crsp_83910,TACT
111140,19960102,20190628,81282,1,crsp_81282,ACIW
111215,19970131,20020731,84396,1,crsp_84396,TGH
111273,19960102,20190628,59600,1,crsp_59600,TWIN
111284,19990520,20190628,76185,1,crsp_76185,TYL
111404,19960102,20190628,10890,1,crsp_10890,UIS
111436,19971218,20190628,85663,1,crsp_85663,URI
111548,19960102,20190628,77505,1,crsp_77505,ASUR
111632,20000407,20180603,88203,1,crsp_88203,OSPN
111642,19960102,20190628,81116,1,crsp_81116,VECO
111666,19980130,20190628,85753,1,crsp_85753,VRSN
111695,19961203,20190628,84348,1,crsp_84348,VSAT
111850,20010904,20081231,36469,4,crsp_36469,WB
111987,19960102,20190628,66384,1,crsp_66384,WDC
112161,19960102,20190628,76201,1,crsp_76201,XLNX
112169,19960102,20190628,27983,1,crsp_27983,XRX
112219,19960102,20190628,76795,1,crsp_76795,ZBRA
112235,19960101,20190628,75853,1,crsp_75853,ZIXI
112255,19980619,20190628,86144,1,crsp_86144,DOX
112306,20000627,20190628,88360,1,crsp_88360,MRVL
112327,20000413,20190628,88196,1,crsp_88196,SINA
112365,20000804,20190628,88526,1,crsp_88526,CRNT
112366,19960628,20190628,83639,1,crsp_83639,CHKP
112369,19990713,20190628,87061,1,crsp_87061,CYRN
112391,19960102,20190628,78971,1,crsp_78971,GILT
112428,19960101,20190628,81013,1,crsp_81013,TSEM
112435,19960101,20190628,81472,1,crsp_81472,ASML
112448,19960101,20180821,78759,1,crsp_78759,SPNS
112467,19960101,20190628,80329,1,crsp_80329,FLEX
112468,20000218,20190628,87608,1,crsp_87608,GIGM
112894,20010727,20190628,89044,1,crsp_89044,PDFS
112942,20010807,20190628,89110,1,crsp_89110,OMCL
113103,20011025,20190628,89167,1,crsp_89167,CCRN
113157,20011113,20190628,89215,1,crsp_89215,AMN
113784,20020129,20190628,89290,1,crsp_89290,SYNA
114005,20070719,20190628,92174,1,crsp_92174,GSB
115387,20020516,20190628,89397,1,crsp_89397,VRNT
115391,20020521,20190628,89387,1,crsp_89387,CPSI
116410,20021101,20190628,89572,1,crsp_89572,CEVA
116539,20021211,20190628,89641,1,crsp_89641,STX
117105,20030612,20190628,89753,1,crsp_89753,FORM
